train_team,train_seed,eval_team,eval_seed,r_0,r_0_std,r_1,r_1_std
4,0,1+5+6,1234,0.33266666531562805,0.0,0.0,0.0
4,0,1+5+7,1234,0.0,0.0,0.0,0.0
4,0,1+6+7,1234,0.33266666531562805,0.0,0.0,0.0
4,0,3+4+5,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
4,0,3+4+6,1234,0.3370000123977661,0.0,0.3333333432674408,0.0
4,0,3+4+7,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
4,0,3+5+6,1234,0.3370000123977661,0.0,0.0,0.0
4,0,3+5+7,1234,0.004333333112299442,0.0,0.0,0.0
4,0,3+6+7,1234,0.3370000123977661,0.0,0.0,0.0
4,0,4+5+6,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
4,0,4+5+7,1234,0.0,0.0,0.3333333432674408,0.0
4,0,4+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
4,0,5+6+7,1234,0.33266666531562805,0.0,0.0,0.0
4,0,1+3+4+5,1234,0.0032500000670552254,0.0,0.25,0.0
4,0,1+3+4+6,1234,0.2527500092983246,0.0,0.25,0.0
4,0,1+3+4+7,1234,0.0032500000670552254,0.0,0.25,0.0
4,0,1+3+5+6,1234,0.2527500092983246,0.0,0.0,0.0
4,0,1+3+5+7,1234,0.0032500000670552254,0.0,0.0,0.0
4,0,1+3+6+7,1234,0.2527500092983246,0.0,0.0,0.0
4,0,1+4+5+6,1234,0.24950000643730164,0.0,0.25,0.0
4,0,1+4+5+7,1234,0.0,0.0,0.25,0.0
4,0,1+4+6+7,1234,0.24950000643730164,0.0,0.25,0.0
4,0,1+5+6+7,1234,0.24950000643730164,0.0,0.0,0.0
4,0,3+4+5+6,1234,0.2527500092983246,0.0,0.25,0.0
4,0,3+4+5+7,1234,0.0032500000670552254,0.0,0.25,0.0
4,0,3+4+6+7,1234,0.2527500092983246,0.0,0.25,0.0
4,0,3+5+6+7,1234,0.2527500092983246,0.0,0.0,0.0
4,0,4+5+6+7,1234,0.24950000643730164,0.0,0.25,0.0
4,0,1+3+4+5+6,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
4,0,1+3+4+5+7,1234,0.0026000000070780516,0.0,0.20000000298023224,0.0
4,0,1+3+4+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
4,0,1+3+5+6+7,1234,0.2021999955177307,0.0,0.0,0.0
4,0,1+4+5+6+7,1234,0.1995999962091446,0.0,0.20000000298023224,0.0
4,0,3+4+5+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
4,0,1+3+4+5+6+7,1234,0.16850000619888306,0.0,0.1666666716337204,0.0
5,0,1,1234,0.0,0.0,0.0,0.0
5,0,3,1234,0.013000000268220901,0.0,0.0,0.0
5,0,4,1234,0.0,0.0,0.0,0.0
5,0,5,1234,0.0,0.0,1.0,0.0
5,0,6,1234,0.9980000257492065,0.0,0.0,0.0
5,0,7,1234,0.0,0.0,0.0,0.0
5,0,1+3,1234,0.006500000134110451,0.0,0.0,0.0
5,0,1+4,1234,0.0,0.0,0.0,0.0
5,0,1+5,1234,0.0,0.0,0.5,0.0
5,0,1+6,1234,0.49900001287460327,0.0,0.0,0.0
5,0,1+7,1234,0.0,0.0,0.0,0.0
5,0,3+4,1234,0.006500000134110451,0.0,0.0,0.0
5,0,3+5,1234,0.006500000134110451,0.0,0.5,0.0
5,0,3+6,1234,0.5055000185966492,0.0,0.0,0.0
5,0,3+7,1234,0.006500000134110451,0.0,0.0,0.0
5,0,4+5,1234,0.0,0.0,0.5,0.0
5,0,4+6,1234,0.49900001287460327,0.0,0.0,0.0
5,0,4+7,1234,0.0,0.0,0.0,0.0
5,0,5+6,1234,0.49900001287460327,0.0,0.5,0.0
5,0,5+7,1234,0.0,0.0,0.5,0.0
5,0,6+7,1234,0.49900001287460327,0.0,0.0,0.0
5,0,1+3+4,1234,0.004333333112299442,0.0,0.0,0.0
5,0,1+3+5,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
5,0,1+3+6,1234,0.3370000123977661,0.0,0.0,0.0
5,0,1+3+7,1234,0.004333333112299442,0.0,0.0,0.0
5,0,1+4+5,1234,0.0,0.0,0.3333333432674408,0.0
5,0,1+4+6,1234,0.33266666531562805,0.0,0.0,0.0
5,0,1+4+7,1234,0.0,0.0,0.0,0.0
5,0,1+5+6,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
5,0,1+5+7,1234,0.0,0.0,0.3333333432674408,0.0
5,0,1+6+7,1234,0.33266666531562805,0.0,0.0,0.0
5,0,3+4+5,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
5,0,3+4+6,1234,0.3370000123977661,0.0,0.0,0.0
5,0,3+4+7,1234,0.004333333112299442,0.0,0.0,0.0
5,0,3+5+6,1234,0.3370000123977661,0.0,0.3333333432674408,0.0
5,0,3+5+7,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
5,0,3+6+7,1234,0.3370000123977661,0.0,0.0,0.0
5,0,4+5+6,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
5,0,4+5+7,1234,0.0,0.0,0.3333333432674408,0.0
5,0,4+6+7,1234,0.33266666531562805,0.0,0.0,0.0
5,0,5+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
5,0,1+3+4+5,1234,0.0032500000670552254,0.0,0.25,0.0
5,0,1+3+4+6,1234,0.2527500092983246,0.0,0.0,0.0
5,0,1+3+4+7,1234,0.0032500000670552254,0.0,0.0,0.0
5,0,1+3+5+6,1234,0.2527500092983246,0.0,0.25,0.0
5,0,1+3+5+7,1234,0.0032500000670552254,0.0,0.25,0.0
5,0,1+3+6+7,1234,0.2527500092983246,0.0,0.0,0.0
5,0,1+4+5+6,1234,0.24950000643730164,0.0,0.25,0.0
5,0,1+4+5+7,1234,0.0,0.0,0.25,0.0
5,0,1+4+6+7,1234,0.24950000643730164,0.0,0.0,0.0
5,0,1+5+6+7,1234,0.24950000643730164,0.0,0.25,0.0
5,0,3+4+5+6,1234,0.2527500092983246,0.0,0.25,0.0
5,0,3+4+5+7,1234,0.0032500000670552254,0.0,0.25,0.0
5,0,3+4+6+7,1234,0.2527500092983246,0.0,0.0,0.0
5,0,3+5+6+7,1234,0.2527500092983246,0.0,0.25,0.0
5,0,4+5+6+7,1234,0.24950000643730164,0.0,0.25,0.0
5,0,1+3+4+5+6,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
5,0,1+3+4+5+7,1234,0.0026000000070780516,0.0,0.20000000298023224,0.0
5,0,1+3+4+6+7,1234,0.2021999955177307,0.0,0.0,0.0
5,0,1+3+5+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
5,0,1+4+5+6+7,1234,0.1995999962091446,0.0,0.20000000298023224,0.0
5,0,3+4+5+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
5,0,1+3+4+5+6+7,1234,0.16850000619888306,0.0,0.1666666716337204,0.0
6,0,1,1234,0.0,0.0,0.0,0.0
6,0,3,1234,0.013000000268220901,0.0,0.0,0.0
6,0,4,1234,0.0,0.0,0.0,0.0
6,0,5,1234,0.0,0.0,0.0,0.0
6,0,6,1234,0.9980000257492065,0.0,1.0,0.0
6,0,7,1234,0.0,0.0,0.0,0.0
6,0,1+3,1234,0.006500000134110451,0.0,0.0,0.0
6,0,1+4,1234,0.0,0.0,0.0,0.0
6,0,1+5,1234,0.0,0.0,0.0,0.0
6,0,1+6,1234,0.49900001287460327,0.0,0.5,0.0
6,0,1+7,1234,0.0,0.0,0.0,0.0
6,0,3+4,1234,0.006500000134110451,0.0,0.0,0.0
6,0,3+5,1234,0.006500000134110451,0.0,0.0,0.0
6,0,3+6,1234,0.5055000185966492,0.0,0.5,0.0
6,0,3+7,1234,0.006500000134110451,0.0,0.0,0.0
6,0,4+5,1234,0.0,0.0,0.0,0.0
6,0,4+6,1234,0.49900001287460327,0.0,0.5,0.0
6,0,4+7,1234,0.0,0.0,0.0,0.0
6,0,5+6,1234,0.49900001287460327,0.0,0.5,0.0
6,0,5+7,1234,0.0,0.0,0.0,0.0
6,0,6+7,1234,0.49900001287460327,0.0,0.5,0.0
6,0,1+3+4,1234,0.004333333112299442,0.0,0.0,0.0
6,0,1+3+5,1234,0.004333333112299442,0.0,0.0,0.0
6,0,1+3+6,1234,0.3370000123977661,0.0,0.3333333432674408,0.0
6,0,1+3+7,1234,0.004333333112299442,0.0,0.0,0.0
6,0,1+4+5,1234,0.0,0.0,0.0,0.0
6,0,1+4+6,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
6,0,1+4+7,1234,0.0,0.0,0.0,0.0
6,0,1+5+6,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
6,0,1+5+7,1234,0.0,0.0,0.0,0.0
6,0,1+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
6,0,3+4+5,1234,0.004333333112299442,0.0,0.0,0.0
6,0,3+4+6,1234,0.3370000123977661,0.0,0.3333333432674408,0.0
6,0,3+4+7,1234,0.004333333112299442,0.0,0.0,0.0
6,0,3+5+6,1234,0.3370000123977661,0.0,0.3333333432674408,0.0
6,0,3+5+7,1234,0.004333333112299442,0.0,0.0,0.0
6,0,3+6+7,1234,0.3370000123977661,0.0,0.3333333432674408,0.0
6,0,4+5+6,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
6,0,4+5+7,1234,0.0,0.0,0.0,0.0
6,0,4+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
6,0,5+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
6,0,1+3+4+5,1234,0.0032500000670552254,0.0,0.0,0.0
6,0,1+3+4+6,1234,0.2527500092983246,0.0,0.25,0.0
6,0,1+3+4+7,1234,0.0032500000670552254,0.0,0.0,0.0
6,0,1+3+5+6,1234,0.2527500092983246,0.0,0.25,0.0
6,0,1+3+5+7,1234,0.0032500000670552254,0.0,0.0,0.0
6,0,1+3+6+7,1234,0.2527500092983246,0.0,0.25,0.0
6,0,1+4+5+6,1234,0.24950000643730164,0.0,0.25,0.0
6,0,1+4+5+7,1234,0.0,0.0,0.0,0.0
6,0,1+4+6+7,1234,0.24950000643730164,0.0,0.25,0.0
6,0,1+5+6+7,1234,0.24950000643730164,0.0,0.25,0.0
6,0,3+4+5+6,1234,0.2527500092983246,0.0,0.25,0.0
6,0,3+4+5+7,1234,0.0032500000670552254,0.0,0.0,0.0
6,0,3+4+6+7,1234,0.2527500092983246,0.0,0.25,0.0
6,0,3+5+6+7,1234,0.2527500092983246,0.0,0.25,0.0
6,0,4+5+6+7,1234,0.24950000643730164,0.0,0.25,0.0
6,0,1+3+4+5+6,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
6,0,1+3+4+5+7,1234,0.0026000000070780516,0.0,0.0,0.0
6,0,1+3+4+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
6,0,1+3+5+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
6,0,1+4+5+6+7,1234,0.1995999962091446,0.0,0.20000000298023224,0.0
6,0,3+4+5+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
6,0,1+3+4+5+6+7,1234,0.16850000619888306,0.0,0.1666666716337204,0.0
7,0,1,1234,0.0,0.0,0.0,0.0
7,0,3,1234,0.013000000268220901,0.0,0.0,0.0
7,0,4,1234,0.0,0.0,0.0,0.0
7,0,5,1234,0.0,0.0,0.0,0.0
7,0,6,1234,0.9980000257492065,0.0,0.0,0.0
7,0,7,1234,0.0,0.0,1.0,0.0
7,0,1+3,1234,0.006500000134110451,0.0,0.0,0.0
7,0,1+4,1234,0.0,0.0,0.0,0.0
7,0,1+5,1234,0.0,0.0,0.0,0.0
7,0,1+6,1234,0.49900001287460327,0.0,0.0,0.0
7,0,1+7,1234,0.0,0.0,0.5,0.0
7,0,3+4,1234,0.006500000134110451,0.0,0.0,0.0
7,0,3+5,1234,0.006500000134110451,0.0,0.0,0.0
7,0,3+6,1234,0.5055000185966492,0.0,0.0,0.0
7,0,3+7,1234,0.006500000134110451,0.0,0.5,0.0
7,0,4+5,1234,0.0,0.0,0.0,0.0
7,0,4+6,1234,0.49900001287460327,0.0,0.0,0.0
7,0,4+7,1234,0.0,0.0,0.5,0.0
7,0,5+6,1234,0.49900001287460327,0.0,0.0,0.0
7,0,5+7,1234,0.0,0.0,0.5,0.0
7,0,6+7,1234,0.49900001287460327,0.0,0.5,0.0
7,0,1+3+4,1234,0.004333333112299442,0.0,0.0,0.0
7,0,1+3+5,1234,0.004333333112299442,0.0,0.0,0.0
7,0,1+3+6,1234,0.3370000123977661,0.0,0.0,0.0
7,0,1+3+7,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
7,0,1+4+5,1234,0.0,0.0,0.0,0.0
7,0,1+4+6,1234,0.33266666531562805,0.0,0.0,0.0
7,0,1+4+7,1234,0.0,0.0,0.3333333432674408,0.0
7,0,1+5+6,1234,0.33266666531562805,0.0,0.0,0.0
7,0,1+5+7,1234,0.0,0.0,0.3333333432674408,0.0
7,0,1+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
7,0,3+4+5,1234,0.004333333112299442,0.0,0.0,0.0
7,0,3+4+6,1234,0.3370000123977661,0.0,0.0,0.0
7,0,3+4+7,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
7,0,3+5+6,1234,0.3370000123977661,0.0,0.0,0.0
7,0,3+5+7,1234,0.004333333112299442,0.0,0.3333333432674408,0.0
7,0,3+6+7,1234,0.3370000123977661,0.0,0.3333333432674408,0.0
7,0,4+5+6,1234,0.33266666531562805,0.0,0.0,0.0
7,0,4+5+7,1234,0.0,0.0,0.3333333432674408,0.0
7,0,4+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
7,0,5+6+7,1234,0.33266666531562805,0.0,0.3333333432674408,0.0
7,0,1+3+4+5,1234,0.0032500000670552254,0.0,0.0,0.0
7,0,1+3+4+6,1234,0.2527500092983246,0.0,0.0,0.0
7,0,1+3+4+7,1234,0.0032500000670552254,0.0,0.25,0.0
7,0,1+3+5+6,1234,0.2527500092983246,0.0,0.0,0.0
7,0,1+3+5+7,1234,0.0032500000670552254,0.0,0.25,0.0
7,0,1+3+6+7,1234,0.2527500092983246,0.0,0.25,0.0
7,0,1+4+5+6,1234,0.24950000643730164,0.0,0.0,0.0
7,0,1+4+5+7,1234,0.0,0.0,0.25,0.0
7,0,1+4+6+7,1234,0.24950000643730164,0.0,0.25,0.0
7,0,1+5+6+7,1234,0.24950000643730164,0.0,0.25,0.0
7,0,3+4+5+6,1234,0.2527500092983246,0.0,0.0,0.0
7,0,3+4+5+7,1234,0.0032500000670552254,0.0,0.25,0.0
7,0,3+4+6+7,1234,0.2527500092983246,0.0,0.25,0.0
7,0,3+5+6+7,1234,0.2527500092983246,0.0,0.25,0.0
7,0,4+5+6+7,1234,0.24950000643730164,0.0,0.25,0.0
7,0,1+3+4+5+6,1234,0.2021999955177307,0.0,0.0,0.0
7,0,1+3+4+5+7,1234,0.0026000000070780516,0.0,0.20000000298023224,0.0
7,0,1+3+4+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
7,0,1+3+5+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
7,0,1+4+5+6+7,1234,0.1995999962091446,0.0,0.20000000298023224,0.0
7,0,3+4+5+6+7,1234,0.2021999955177307,0.0,0.20000000298023224,0.0
7,0,1+3+4+5+6+7,1234,0.16850000619888306,0.0,0.1666666716337204,0.0
1+3,0,1,1234,0.0,0.0,0.9419999718666077,0.0
1+3,0,3,1234,0.013000000268220901,0.0,0.9490000009536743,0.0
1+3,0,4,1234,0.0,0.0,0.0,0.0
1+3,0,5,1234,0.0,0.0,0.0,0.0
1+3,0,6,1234,0.9980000257492065,0.0,0.0,0.0
1+3,0,7,1234,0.0,0.0,0.0,0.0
1+3,0,1+3,1234,0.006500000134110451,0.0,0.9455000162124634,0.0
1+3,0,1+4,1234,0.0,0.0,0.47099998593330383,0.0
1+3,0,1+5,1234,0.0,0.0,0.47099998593330383,0.0
1+3,0,1+6,1234,0.49900001287460327,0.0,0.47099998593330383,0.0
1+3,0,1+7,1234,0.0,0.0,0.47099998593330383,0.0
1+3,0,3+4,1234,0.006500000134110451,0.0,0.47450000047683716,0.0
1+3,0,3+5,1234,0.006500000134110451,0.0,0.47450000047683716,0.0
1+3,0,3+6,1234,0.5055000185966492,0.0,0.47450000047683716,0.0
1+3,0,3+7,1234,0.006500000134110451,0.0,0.47450000047683716,0.0
1+3,0,4+5,1234,0.0,0.0,0.0,0.0
1+3,0,4+6,1234,0.49900001287460327,0.0,0.0,0.0
1+3,0,4+7,1234,0.0,0.0,0.0,0.0
1+3,0,5+6,1234,0.49900001287460327,0.0,0.0,0.0
1+3,0,5+7,1234,0.0,0.0,0.0,0.0
1+3,0,6+7,1234,0.49900001287460327,0.0,0.0,0.0
1+3,0,1+3+4,1234,0.004333333112299442,0.0,0.6303333044052124,0.0
1+3,0,1+3+5,1234,0.004333333112299442,0.0,0.6303333044052124,0.0
1+3,0,1+3+6,1234,0.3370000123977661,0.0,0.6303333044052124,0.0
1+3,0,1+3+7,1234,0.004333333112299442,0.0,0.6303333044052124,0.0
1+3,0,1+4+5,1234,0.0,0.0,0.3140000104904175,0.0
1+3,0,1+4+6,1234,0.33266666531562805,0.0,0.3140000104904175,0.0
